idLycee;login;password;nom;prenom;naissance;note1;note2
146;thomascharrier;C$5Lxt3$*XDi;Regnier;Antoine;2002;7.689;12.822
146;denise47;rgVCLjzS4!S7;Pottier;Grégoire;2002;5.862;6.848
146;david24;PViP6pUg+(g7;Roger;Valentine;2003;2.18;6.18
146;williamnicolas;ph4G6+2g2+I);Rolland;Capucine;2002;3.585;2.347
146;lucas97;J_MxZuPDnn4@;Barthelemy;Marianne;2002;5.792;2.333
146;charles31;!MrM7W!iQS5x;Arnaud;Michelle;2002;16.767;7.862
146;ilecomte;T1iVZ8xk@8lS;Bourdon;Aurore;2002;12.53;18.599
146;voisinalain;%vM0m78aO769;Dumont;Emmanuel;2002;14.03;17.574
146;odetterichard;+@)giGaikCW3;Leduc;Céline;2002;7.248;17.262
146;clemence06;+8kvKFt*Y(8J;Perrin;Anaïs;2001;13.805;6.483
146;gayalex;%Y4LTB3qC#CZ;Chevallier;Sophie;2002;8.436;18.634
146;delahayeadelaide;_#94MmQcd%kE;Bernier;Sophie;2002;7.714;5.252
146;vmarin;+xI(M)TO891+;Richard;Gilbert;2001;16.276;9.401
146;baudrycamille;#7S5DjrnqzX9;Potier;Théodore;2002;6.484;3.277
146;marincatherine;KER#Ha_y%#7Y;Bonnin;Capucine;2002;8.758;4.906
146;oceane65;T^%&Zfi6RlU3;Lefevre;Thierry;2002;13.662;2.523
146;eugeneandre;+jJb$EBAb2Xg;Leblanc;Stéphanie;2002;12.91;12.585
146;nbesson;n&SB8CTvNywY;Bernier;Célina;2000;7.237;12.465
146;corinnebaron;m*A(4Ydb%)^P;Weiss;Gabriel;2002;14.988;19.756
146;zlelievre;r@kb^4Ei9WHp;Brunet;Bernadette;2002;3.883;5.035
146;djulien;_$+uJMgp$h8N;Lefebvre;Marthe;2002;17.527;18.122
146;adelaideraynaud;aXGn)6OmxqEs;Grondin;Benoît;2002;12.134;13.24
146;vclerc;2Vl@)oYqQTCp;Guillaume;Colette;2002;2.941;4.048
146;maryserenaud;%6VPkw2R_ajC;Bourdon;Nathalie;2002;14.301;15.284
146;bessonclaire;XIH!pRI5#W6$;Ribeiro;Victor;2002;9.01;4.248
146;gillesherve;yjF2y%NC(1RB;Munoz;Isabelle;2002;4.07;8.046
146;barbierjosephine;r)#6hU^cNwqK;Gregoire;Paulette;2002;8.6;6.246
146;ebousquet;s_x@GV5ggnN3;Lambert;Martin;2002;8.49;12.465
146;hortense03;$UPpV@uof8@e;Mendes;Josette;2002;13.836;7.248
146;margotjacques;2@KX5EuIN8!+;Munoz;Sophie;2002;4.373;13.989
146;aguillou;hN7$HVtbt@s6;Clement;Antoinette;2002;19.428;6.748
146;xlesage;A2V5Kdp*&Rqv;Deschamps;Françoise;2002;4.483;19.077
146;cousinlucas;0JFD5hDl0SY+;Toussaint;Bernard;2002;3.863;18.84
146;scamus;(otVwVbdm9Lh;Merle;Guillaume;2002;13.032;15.202
146;imbertmonique;bVmRdn5^!1Cs;Fontaine;Pauline;2001;8.036;6.669
146;luc51;)PU6z#CyLEtd;Mahe;Richard;2002;2.105;15.214
146;paulette20;!eW571Pfz^EB;Costa;Adélaïde;2002;13.91;5.855
146;valentinecamus;m$0$f)ROJp1V;Gauthier;Thibault;2002;12.839;3.196
146;maggie44;)0xCqn^a_^Z^;Cohen;Pénélope;2002;17.582;13.666
146;margotblondel;$%dcWZo^gz8U;Guibert;Laetitia;2002;11.026;7.772
146;margueritepineau;@cv4cFSvU7J+;Hebert;Anouk;2002;19.989;2.405
146;yfleury;A*4JQBoqajvH;Martins;Margaret;2002;10.54;17.012
146;jacques64;@OvNuvC$I!0V;Rolland;Noémi;2002;18.159;19.119
146;baudrycolette;##D7GcghgEvk;Adam;Corinne;2001;5.75;8.338
146;mauricepierre;d!1)eewj9+dN;Dumas;Manon;2002;14.515;16.762
146;georgesjacob;b@3+ONOcnoI*;Boyer;Jeanne;2002;2.513;17.617
146;mauryelisabeth;!NnoTSniZWz0;Robert;Céline;2002;12.996;8.906
146;perriertheophile;4NW80Vh*YKh*;Mallet;Véronique;2002;5.524;10.233
146;marclebreton;A@85+b#fH+9I;Raymond;Michèle;2002;12.485;14.862
146;clemencemuller;IeOg1V@u8M%%;Schneider;Jeannine;2002;10.917;11.517
146;qchauveau;dl%IBLuO66i9;Lesage;Jeanne;2002;5.22;9.898
146;perrinjules;(2jPkslt6vfF;Chauveau;Maryse;2002;2.301;12.982
146;hebertemile;BZFqFw@#*368;Maurice;Étienne;2002;11.647;7.101
146;legendrefrederique;%Z8PbrnR0qNL;Pottier;Pierre;2002;5.446;18.102
146;jacques25;F4+S!Kan!d8W;Vincent;Marguerite;2001;7.981;7.103
146;benjaminperrier;+9@baroN)oAM;Lefevre;Frédérique;2001;3.745;10.513
146;upoirier;SleyoBEtG%r8;Diaz;Constance;2003;2.184;17.375
146;noemi75;0j(SX1q!%aFg;Nicolas;Nathalie;2002;8.752;8.686
146;benardluc;25kYdNML&Rbh;Guichard;Olivier;2002;12.621;5.28
146;louis18;Bup#q1Zuo(io;Gregoire;Valentine;2002;7.382;10.226
