idLycee;login;password;nom;prenom;naissance;note1;note2
148;alainmarchal;0!YE6pwh@COu;Pichon;Gabrielle;2002;15.018;14.382
148;astridnguyen;cdlQXPl^(9Xu;Lacombe;Lucy;2002;2.675;12.225
148;alexandriavallee;)MAJMywjz0WC;Torres;Émile;2002;5.168;11.44
148;noemilemaire;AHh8rSi)XC&p;Laine;Vincent;2002;14.132;11.873
148;beguemarthe;g$QI@5YvvV6C;Remy;Léon;2002;14.466;14.35
148;techereugene;9HTW0fvb)m5m;Laurent;Adélaïde;2002;13.233;10.522
148;fpelletier;+Eta$X8U2MOp;Robert;Luc;2002;11.148;5.202
148;martinmanon;R5a+4r*BXHIS;Lemoine;Élodie;2002;12.7;12.306
148;camille80;T@oBphIk%C0a;Da Silva;Margot;2002;11.933;18.355
148;rioueleonore;nh)J@q1aG(1J;Richard;Monique;2001;12.973;12.049
148;ulefebvre;7tdvbouN(3!V;Dufour;Théodore;2002;15.346;6.423
148;jlefebvre;o(5#WrxsoAhw;Blin;Claude;2002;18.615;8.091
148;clemencenguyen;s)5@UY7k2R_8;Renaud;Margot;2002;6.746;10.517
148;cordiermarguerite;*B0J$SxeY1L3;Delattre;Madeleine;2003;18.829;9.615
148;elise64;YxLd0uzp24^t;Blanchet;Stéphane;2002;18.653;11.694
148;tvalentin;C2!Z2QTfRfU);Lecoq;Olivier;2002;16.763;12.747
148;victoire93;c19cOvOTI!3Q;Leblanc;Alexandre;2001;15.912;12.196
148;micheldelattre;^#lUsm(q6yiU;Clement;Margaux;2002;12.274;10.993
148;francois37;&_P2ZazJn6&U;Colin;Aurore;2002;15.304;3.43
148;nath39;hSVn3sl*2#58;Riviere;Antoinette;2002;8.234;19.468
148;dlemaitre;z@Df7fKbKB@z;Dupuis;Suzanne;2002;11.237;7.875
148;julie06;^eOFi%)mC55(;Fabre;Julien;2002;9.268;16.904
148;patriciajulien;7Q^STCPiYC1_;Dupuy;Simone;2002;16.155;4.863
148;pdiaz;$okQcGkON@0g;Ledoux;Denis;2002;14.954;3.946
148;corinnedupuy;rxWFs4tR_Rk7;Denis;Georges;2002;5.947;13.691
148;hlemaitre;E@vM0bPqZ31@;Bonnin;Thierry;2002;15.514;4.142
148;ulacroix;Hqt0ZOd&i#V(;Lacroix;Thierry;2002;6.928;6.212
148;rgallet;kIb9#$$z&^67;Bourdon;Océane;2002;2.054;7.136
148;simonevidal;h50iNGNrmuR&;Gallet;Thibault;2001;17.234;10.243
148;khenry;+10@d4Un(*XF;Laurent;Augustin;2003;3.659;7.866
148;lebretonhortense;nXmiFdXh%@0v;Guerin;Émile;2002;8.777;11.692
148;fmahe;3mg7Se0S(ayU;Evrard;Honoré;2001;10.607;3.533
148;faivreamelie;Rm^+7IgT%N@1;Lemaitre;Olivie;2002;17.837;15.188
148;rodriguezpierre;2yZp5g!5#ipg;Delmas;Honoré;2002;16.379;8.213
148;denisle-gall;_Xv1RLj@K6V$;Lucas;Auguste;2002;15.106;13.31
148;rocherolivie;y6wrCECis!q4;Fournier;Éléonore;2002;6.174;19.71
148;chauvinsusanne;3BkWncJC@v4f;Jacob;Margaret;2003;8.162;4.857
148;jeannineriviere;_QIbgBi*16DV;Robert;Joseph;2002;8.033;12.764
148;alix64;%9xte8Og938R;Roche;Bernard;2002;15.986;16.334
148;fchevallier;177HDtr_(LqU;Mace;Alfred;2002;10.303;5.511
148;raymonddelannoy;)(&1zX_l9ja0;Langlois;Paul;2002;8.837;15.193
148;frederique09;V6aQ*ZsB(7Eh;Gomez;Pauline;2002;17.746;12.812
148;fontainexavier;7sdeJhIn^9SL;Goncalves;Benjamin;2002;15.56;19.135
148;margot87;n%5IGc1ErznR;Rousset;Corinne;2002;19.778;6.011
148;nathalieguillou;o#LMxhbw!$23;Grondin;Eugène;2002;3.426;8.376
148;anouk21;WVlOVPRk^la7;Perret;Anastasie;2002;13.977;18.987
148;rene90;UBC1XVch#q_t;Roux;Émile;2002;16.854;6.677
148;jhenry;$RPDBs9cZy26;Poulain;Dominique;2001;18.38;6.998
148;valettecelina;y4nA9w6^@qyC;David;Adèle;2003;4.597;9.996
148;yvesblanchard;77u_5ykx^QXV;Renaud;Benjamin;2002;14.041;4.202
148;carpentierjulie;#sy+GaW#W9t1;Morvan;Emmanuelle;2002;4.308;9.266
148;thomasturpin;(Ur3K@oUYbHD;Letellier;Nicole;2002;7.843;19.911
148;denise84;AO%veAYeS&6s;Pierre;Laurence;2001;17.206;15.986
148;victoireclerc;r*11t*EQ5*Y5;Klein;Valentine;2002;19.746;4.019
148;lucas74;$Rm1aHLlAxy4;Faure;Corinne;2002;16.24;15.179
148;leonberthelot;s3)7F*l^7$K3;Levy;Valérie;2002;10.121;13.812
148;olivie24;76JFly4r!1gq;Merle;Virginie;2002;9.609;13.225
148;delahayeluce;V^V9MYJq+65U;Valentin;Marc;2002;3.472;15.345
148;vbarbe;@3SwGtDekfQw;Samson;Anastasie;2002;7.767;11.282
148;gmaury;fa5!IMs_*wsV;Laporte;Renée;2002;14.864;18.381
