idLycee;login;password;nom;prenom;naissance;note1;note2
147;diallolaure;y!rECkDAJ9L4;Dupont;Tristan;2002;12.69;5.47
147;sdiaz;#E8Qwlua#!go;Regnier;Andrée;2002;2.707;11.624
147;caroline76;87ISkh_+#mj4;Julien;Jean;2003;8.957;12.185
147;cmaurice;6nY$pMv!_9x6;Lejeune;Manon;2002;7.1;15.456
147;mduval;B&i7Bk6kQESV;Martin;Thierry;2001;13.704;11.973
147;laporteeric;U3h$ev@M@lzY;Marin;Catherine;2002;8.754;10.525
147;tarnaud;n&uS7Y5fABv!;Lefebvre;Dominique;2001;13.307;16.448
147;luc56;!q2KGqw42c+y;Briand;Lorraine;2002;14.739;16.269
147;sebastien57;N9XP2Z%I^NYl;Pierre;Audrey;2002;7.501;2.141
147;alexolivier;5zcDl#Yf%$8T;Roux;Matthieu;2002;17.052;16.113
147;clairerousset;Qrp2ApXXf@+);Techer;Jeannine;2002;12.366;18.465
147;delormeemilie;jQ^SSr)D7V*1;Jean;Margaux;2001;18.14;10.46
147;xruiz;q32QTZhk)jD8;Royer;Isabelle;2002;8.945;11.564
147;maryseriviere;Z%68Vk5pb2HN;Bousquet;Catherine;2002;8.247;2.556
147;bouchetroger;c0kfRpHm*fpJ;Legrand;Frédéric;2002;6.216;11.743
147;roussetwilliam;LqEyI)Mm$gM7;Nguyen;Édouard;2002;5.753;11.02
147;cpineau;c@X6G)q@ct$W;Gregoire;Nath;2002;16.038;2.983
147;chartierchantal;^t&J3zAV61NC;Bernier;Françoise;2002;14.859;19.067
147;constance08;^tqziQDi(4(R;Blanchet;Jacqueline;2002;4.362;16.384
147;massonaurelie;bWI3V@vd%QC@;Pasquier;Hortense;2002;13.851;11.063
147;pageswilliam;oq61NDPtm%7Y;Lambert;Susan;2003;10.989;19.202
147;vherve;qi2ojy4h+g0W;Leclercq;Amélie;2002;8.716;2.044
147;renebonnet;bD4$l&oCp&hU;Menard;Charlotte;2003;4.122;8.25
147;caronmarthe;&(@zQnjT16YY;Mace;Hortense;2002;17.938;11.895
147;christine22;*hnGm5Sfs!3);Texier;Jacques;2003;7.645;12.48
147;luciemarion;l3#!9S5l(X^B;Antoine;Guillaume;2002;8.455;13.978
147;vincentgilles;F26&vN48*4W0;Peltier;Laurent;2002;6.658;11.347
147;leforttheophile;8J!6(Bea@3(S;Lefevre;Benjamin;2002;5.396;6.448
147;leon07;$*7!T(uo@@FB;Besson;Guy;2001;14.115;3.222
147;arnaudeleclerc;l1f%Rdv5$IW!;Chauveau;Julie;2002;15.649;15.93
147;amelie94;!69^UBc6mO1j;Dubois;Gérard;2002;14.728;12.164
147;lucieweber;^%1HeOPd*OW&;Ribeiro;Gabrielle;2003;8.919;14.651
147;maurygilles;$i*RKep^KXY7;Barbier;Timothée;2002;13.258;19.796
147;roytristan;@0BYoSfL@d0A;Barbe;Louis;2001;6.497;10.435
147;lebruntimothee;S+8D#L%c3+(&;Duhamel;Alexandrie;2002;19.459;10.95
147;vaillantsusanne;YmXU8TVgU!m*;Lebreton;Adélaïde;2002;11.87;11.353
147;whamel;DokTumWwR8(@;Petitjean;Agnès;2001;9.049;13.925
147;jeannineimbert;M@8ogwlTmntX;Marchand;Antoinette;2002;18.284;8.419
147;lfleury;z5RMLOgfp8T_;Pierre;Frédéric;2002;3.693;14.044
147;eleonorepasquier;Slf4v1@g*yRo;Richard;Franck;2003;2.583;12.057
147;tanguyanais;a8AGTz*s&2f_;Moreau;Isabelle;2002;18.527;5.899
147;dtraore;##pohx)lf+0A;Pages;Antoinette;2001;16.944;12.488
147;alexandrieblot;!87XNtwf&@X$;Aubry;Grégoire;2002;4.52;6.512
147;manonbourdon;Ggu4wGPq$xQb;Lejeune;Jeannine;2002;18.949;5.257
147;etiennerobert;7vBI+_mm@2&G;Turpin;Madeleine;2002;6.89;14.493
147;emilie85;^i2&0Akf5d(I;Giraud;Jeannine;2002;8.927;11.952
147;diane55;KD9USG#q)&pT;Bailly;Christiane;2002;5.786;17.951
147;jacquelineguerin;efGeVV1e^1yV;Poirier;Valérie;2002;14.284;11.5
147;bergeralex;l3Zfygozlx(q;Sanchez;Marie;2002;19.78;4.118
147;susanne12;h^3%WQRAJiL6;Fischer;Joseph;2002;8.399;13.194
147;grenierlucas;UXP9BbBe9__&;Ledoux;Aurélie;2002;13.064;19.868
147;csalmon;L$JQZZami497;Lucas;Élise;2002;8.459;17.003
147;pineauphilippe;W1xA*Eup*cO0;Pierre;Alice;2002;19.912;19.622
147;blancbernard;AB&2ZrvF@$J8;Leblanc;Diane;2002;18.65;4.573
147;qtecher;NjTgCFge+5AS;Weber;Patricia;2002;18.799;8.876
147;ngodard;+_%FDrYsW1QH;Hoareau;Diane;2002;8.902;11.98
147;eleroy;+M01EHKyXBli;Evrard;Jacqueline;2002;10.051;6.191
147;diasthomas;pb*F%eK%3e0F;Boucher;William;2001;7.475;14.351
147;victoire58;i(7^RhH9S&%k;Raymond;Roland;2002;11.355;5.382
147;sophiefontaine;^iMF$%sos7#R;Paris;Stéphane;2002;17.099;8.966
