idLycee;login;password;nom;prenom;naissance;note1;note2
150;matthieudijoux;Nn4l8Cw(S@5a;Bouvet;Christelle;2002;10.789;7.383
150;aimee94;MH2bkxyle!h5;Michel;Paulette;2002;17.218;11.915
150;marierenaud;%8QilOXp5X$%;Meyer;Michelle;2002;15.039;4.134
150;colette24;FOfQp(n(e09);Blondel;Timothée;2002;3.969;14.291
150;mariesauvage;(j#y5bOz7_Vr;Louis;Paul;2003;15.234;13.253
150;parentmargaud;Tab2gSuRx(kh;Renault;Sylvie;2002;18.836;18.788
150;laurencealbert;$&52ol!4Q$3A;Hoarau;Paul;2001;3.505;10.72
150;pintosimone;f!To#zXv#3C*;Barre;Laetitia;2002;2.238;6.634
150;bbouvier;*6DWI_fj5qOp;Launay;Zacharie;2002;11.379;4.597
150;baronjulie;+5bsB(8p31Ga;Peron;Adélaïde;2002;16.508;7.842
150;sdidier;JG5^&RTkJ_mJ;Monnier;Gérard;2002;10.777;16.573
150;caroline52;x4VPiAIy*mk!;Evrard;Jean;2002;2.121;9.001
150;abailly;+4MhCOxz@boz;Duval;Denis;2003;4.58;19.3
150;bertrandlebrun;0SH8U1ql)Sld;Rey;Patrick;2002;18.03;19.224
150;blotfrancoise;e7f!iHL_Gr1L;Lebreton;Cécile;2001;2.98;18.495
150;lorraine08;V+r2aFfK4w!8;Marechal;Pierre;2002;9.604;5.285
150;thibaultgilles;0sKGbMZN_EM_;Dubois;Thierry;2002;14.326;18.144
150;dle-gall;Pso0LZaHK_#^;Andre;Alexandria;2002;6.399;13.635
150;elisabeth64;_@13r%1lLsE0;Riou;Jeanne;2002;5.094;4.323
150;carolineribeiro;I&1icgUUPL!T;Rodriguez;Inès;2002;3.111;6.088
150;noelantoine;&4w+wIq&^B_N;Besson;Margot;2002;6.174;8.461
150;levytheophile;Q9+A!*hy*1ka;Chartier;Guy;2002;14.725;9.38
150;rocheralfred;@oLZl5Tm^@5k;Seguin;Andrée;2002;9.908;5.932
150;louise82;&M#zJYCiof2N;Carre;Alexandria;2002;18.439;3.454
150;oliviefrancois;l8!RXugU%^5m;Blanc;Bernard;2002;13.989;18.015
150;dominique52;p+9kR#o#gh*);Besnard;Dominique;2002;12.949;16.942
150;de-sousavictor;wmBd6byng*2B;Diallo;Martin;2002;15.878;10.216
150;augustinguyot;X8BH_++i)R)C;Klein;Nicole;2000;11.538;11.036
150;sguillaume;u!pDYYrxMAB3;Nguyen;Dorothée;2002;5.008;9.019
150;alexandriedupre;#JORLBVjchZ8;Jacob;Alix;2002;2.844;17.438
150;chauvinnoel;sQ35BOwfi@u1;Olivier;Émilie;2002;16.446;5.284
150;adametienne;$2T^Z38kkOcm;Alves;Franck;2002;6.211;14.954
150;zoe10;zf8eZNdt+&JT;Tessier;Christine;2002;15.927;14.2
150;olivie18;&X%AFAnsl2F5;Collet;Gilles;2002;15.978;8.542
150;anastasiemuller;9Z_C1pH%*he*;Fernandes;Mathilde;2001;3.305;3.5
150;gregnier;Tf2NiOdD)3H7;Ferrand;Hélène;2002;9.742;4.951
150;rioumarcelle;&+hh$DX&Lr9R;Pinto;Eugène;2002;17.615;8.665
150;cecilebenard;_^ZBdhiMA42u;Gautier;Clémence;2002;17.87;19.849
150;marteljeannine;lg78Byu5(Gx);Prevost;Virginie;2002;15.636;5.199
150;theodore86;+FE_6(WA0Fg+;Godard;Thibaut;2002;19.209;7.088
150;aubertandree;^^P35jvHl^rv;Morvan;Lucie;2002;7.881;8.329
150;colettesanchez;qQ2c$qmhJ_SX;Petit;Denis;2002;3.515;16.134
150;sboulay;i4Sv+hV)%0jD;Adam;Henriette;2002;19.03;10.167
150;daisy35;+6XQzzPfC1zp;Jacquet;Hugues;2002;7.963;12.089
150;david79;)kp@YGMfXr2b;Chretien;Laure;2002;5.741;8.887
150;xpages;k@3NgzjSiWUS;Laroche;Georges;2002;8.299;16.362
150;richardmarchand;PRyUAnwE+1II;Pinto;Alexandre;2002;13.275;13.834
150;aurelie96;)_%xCehbY01D;Martel;Laurent;2002;6.519;8.806
150;nguyendenise;7VSo5smpW%U+;Clement;Éric;2002;15.184;9.458
150;jhamon;+dW*hSzm*4$U;Carlier;Gilles;2002;19.975;2.477
150;audrey25;zKug2NK2(65_;Arnaud;Élisabeth;2002;14.309;3.307
150;pierrejacquet;(8TmFQCsTN7_;Hamon;Victoire;2001;9.421;10.52
150;texieremmanuelle;mK@C3e7lg)J^;Maillot;Virginie;2002;17.858;7.152
150;christiane07;9_ETiI7_^6Ya;Torres;Laurent;2003;19.561;5.896
150;martinlacombe;(0qGSokx$)s5;Brunel;Claudine;2002;16.193;11.809
150;alix17;8o4f!j8LS!Hh;Lebrun;Lorraine;2002;7.565;12.551
150;jolyeleonore;B(e%Azjn_j73;Giraud;Frédérique;2002;17.514;14.339
150;nathalie38;(eoB@JqUb4r!;Perrin;Michel;2002;3.09;3.516
150;victoirealbert;kv^&8V7a8nzh;Hubert;Cécile;2002;19.813;5.672
150;catherineweiss;D#6P4qldHyWw;Mathieu;Margot;2002;3.24;8.353
