idLycee;login;password;nom;prenom;naissance;note1;note2
151;christiane25;Q0*OD3BuQ!%P;Lemoine;Caroline;2002;14.452;3.081
151;kdupuis;Uqp4xVs^!Z1f;Gillet;Nicole;2002;4.34;11.482
151;vincentetienne;o#rMArRPF1Q2;Picard;Virginie;2002;12.066;11.347
151;regnierjuliette;V+29T&i5ZUHE;Sanchez;Luc;2002;2.551;9.951
151;fourniertherese;d@+)Dw8u)@74;Laroche;Auguste;2002;2.123;5.933
151;jerome44;tXAStHpv^6w3;Grondin;Colette;2002;2.067;19.026
151;allardchristelle;*rbuky6h9sA);Masse;Nathalie;2002;14.71;17.222
151;abousquet;Z9znN04xR*5G;Etienne;Antoinette;2001;17.719;11.519
151;vlemaitre;N6(&asE_f03L;Giraud;Clémence;2002;12.958;2.762
151;dorotheefaure;unXPEYJAt@7o;Gaudin;Cécile;2002;8.545;18.166
151;anne00;KT1^zK4l1#yN;Becker;Agnès;2002;17.664;18.309
151;qweber;%Z5UhzMYXZbT;Paul;Noël;2002;5.894;11.426
151;arthurroger;iU*WGacZ4#q6;Bousquet;Émilie;2002;8.845;10.787
151;renaultjoseph;T6V$lo^3uSgf;Marechal;Éléonore;2002;16.166;3.5
151;reneleroy;MQ%PP1g^_Y+2;Jacquot;Clémence;2002;14.816;2.68
151;guillaume76;$r76MheMr7tQ;Gomes;Thibaut;2002;7.634;2.418
151;isaacturpin;%jRBkcWSl9%J;Lecoq;Benoît;2002;2.706;7.171
151;chauvinvictor;de^R)0Uxx#w#;Gautier;Roland;2002;2.342;17.821
151;chevalierpenelope;^GA8rTskDc@&;Gros;Dominique;2002;18.308;4.33
151;andree74;_*1GRumQCsDm;Delahaye;Capucine;2002;16.12;13.585
151;vbonnet;tP+O00Tr7s@8;Bonneau;Éléonore;2002;6.123;6.879
151;maryjulien;GWuwI^mp&M0z;Rolland;Anouk;2001;10.036;18.039
151;thierrycollin;9i8O&Kx2e)1Y;Boulanger;Michel;2002;13.96;14.598
151;alphonse66;U9CMyd+a$SLK;Perrier;Josette;2002;10.67;5.805
151;delaunayagnes;!3@ocg(dwOBz;Gaillard;Marie;2002;13.396;13.245
151;sophie36;qyQctC(f43x&;Mendes;Odette;2002;12.754;16.432
151;benoitmaury;@DSDE1TqCQH2;Bigot;Alexandrie;2002;3.636;11.432
151;vimbert;6rB4COgL$DDA;Hamon;Joseph;2002;8.439;15.366
151;etiennealfred;!p6lCu4If!i0;Mathieu;Marie;2001;17.774;12.935
151;zhamel;H&28!FOe1P$0;Gautier;Thérèse;2000;14.296;6.846
151;gblin;758in(9w%9LY;Deschamps;Isaac;2002;12.78;6.637
151;laetitiabenoit;451N$tdm^szB;Rodrigues;Henri;2002;15.545;12.925
151;cmaury;&#mTjaR58l03;Prevost;Capucine;2002;12.889;11.318
151;gerardfrederique;t311QFgu*98%;Dubois;Richard;2002;9.37;12.438
151;michelbruneau;PE5wP6Am(r9a;Lefebvre;Richard;2003;4.146;12.004
151;joseph77;H!NCj#xzC*0R;Lebon;Diane;2002;7.728;14.479
151;margotsauvage;uZnf1gvo#2#I;Roux;Dorothée;2003;6.356;5.65
151;cprevost;Z4fptac6^4Kq;Hubert;Philippe;2002;3.995;10.493
151;robert94;Fv$#T$mQEB3#;Laroche;Marguerite;2002;5.61;14.057
151;stephanie00;O#jWAH^j4zM8;Lagarde;Nathalie;2003;12.181;3.214
151;poiriermaryse;@9JsT0J+7GDB;Martel;Susan;2002;13.843;10.336
151;xlecoq;lua%5GWm31Ro;Sauvage;Jean;2002;6.628;5.41
151;martineauvincent;C)Um0)Ywdet0;Carlier;Denise;2002;3.108;6.871
151;charrierceline;sc69OW5oAT#d;Chevalier;Jérôme;2002;19.943;6.19
151;guilloulorraine;*1^jGYM9mkxC;Guyon;Lucas;2002;11.095;18.087
151;morvanpaul;(+2UB_gbkN7@;Michel;Margot;2002;9.003;18.832
151;usalmon;o(_9lGngxjr#;Marion;Sylvie;2002;11.044;13.994
151;xgosselin;#E+eXa^Dzf1j;Jourdan;Christophe;2002;18.238;4.227
151;raynaudhelene;_3Q)i1N*8x%Y;Lefort;Édith;2002;7.7;7.407
151;jacobagnes;F46sIng29U(7;Gonzalez;Gilbert;2002;12.013;8.685
151;jean54;3RYRdtGj)cg1;Regnier;Gérard;2002;5.589;12.88
151;malletines;Y3FLuqbMu&2z;Lecomte;Lucie;2002;18.602;3.427
151;flamy;)7Mg9p$YPnFp;Garcia;Louise;2002;16.421;7.573
151;maceanais;)_SM#f^dGg0A;Paris;Alexandre;2002;9.549;18.704
151;qlacombe;X1L35pva@P5N;Chauveau;Madeleine;2002;7.137;2.797
151;vperrin;&8hwtmCr1v#R;Marie;Gilbert;2002;4.925;15.097
151;mhumbert;#PQ714Su7FCe;Laroche;Anaïs;2002;6.234;15.009
151;dorothee85;*9EUgAmt4_Vl;Jacob;Gabriel;2004;2.626;18.947
151;pineauarnaude;Ms23HFvu$y$(;Turpin;Isabelle;2002;8.788;8.31
151;nguyenalphonse;yxpDEWSZW)n9;Gallet;Pierre;2002;3.171;14.114
