idLycee;login;password;nom;prenom;naissance;note1;note2
152;ngautier;RJx0LHPm#Lk_;Nguyen;Michelle;2002;11.106;19.909
152;jeanninemary;aLgOtwQG#+l1;Bouchet;Françoise;2002;7.074;17.369
152;vtessier;$3SWKpsjcUSo;Lecomte;Thierry;2002;3.46;9.081
152;bouvetines;+@@q6FtNV6R4;Munoz;Olivie;2002;6.478;11.843
152;alicedelorme;_#lrHW1fN3J8;Mace;Lucy;2002;17.551;6.426
152;bschneider;+p7TkGUqXsbV;Gros;Amélie;2002;16.924;8.743
152;laurent18;^&+Cfo^V)*2q;Garcia;Émilie;2002;8.532;5.504
152;joseph56;+0LPlYiID01n;Fouquet;Jacques;2001;2.171;3.801
152;philippejoseph;F_1GP!vZyDDH;Levy;Alexandre;2002;5.126;6.916
152;preynaud;!0Ha#h)hR6Hs;Lagarde;Antoine;2002;11.423;19.97
152;victoirepineau;JeP2ZWKxZa5+;Gay;Margot;2002;6.923;16.301
152;carolineriou;&aWtyvvf3i4o;Thierry;Pénélope;2002;13.749;11.052
152;jules51;$K^7k5Ay_zzC;Wagner;Sophie;2002;8.05;11.121
152;aimee67;Vbgzt3cn)5M#;Colas;Suzanne;2002;19.048;17.206
152;michelelanglois;%*OZMdziF58#;Dubois;Auguste;2002;15.194;8.763
152;jeanne76;)6$F4y@kAwPi;Guillaume;Édouard;2002;3.646;11.292
152;schmittdenise;@LfwOiZPBa0Y;Bonneau;Thibault;2002;12.481;12.322
152;raymond52;!MH(22SaD5fq;Guillou;Joseph;2002;16.11;8.747
152;gillespoirier;6$sXRVLyDj9X;Lucas;Michel;2002;19.867;18.91
152;juleshamon;74y7NQVf_s8z;Voisin;Camille;2002;15.391;2.715
152;josephine68;a2C!CP8G^zUj;Hamon;Hugues;2002;19.751;14.389
152;lnoel;7Nx(7Ysi@u_*;Gauthier;Bernard;2003;13.949;12.396
152;bruneauolivie;#3(Xd7uoOHb5;Brunel;Christine;2002;19.705;13.256
152;rogerisabelle;(s2g4WKjhj7M;Ledoux;Adrienne;2002;6.266;19.786
152;laurent84;t+iA9EfSHdHB;Costa;Léon;2002;5.632;5.949
152;mathildeguichard;0_z2dJyfkVpJ;Toussaint;Laurence;2002;19.53;3.225
152;vaillantmargaret;$e5Q6wMEQi!!;Richard;Colette;2004;16.922;17.732
152;laetitia54;7O_VidSe%UhH;Delahaye;Nathalie;2001;12.92;5.902
152;thibaut10;)_$R#knOc5Hx;Fabre;François;2002;14.444;17.214
152;claudine89;uS31FTOhQT)6;Brun;Roland;2002;14.558;2.876
152;chauvinjacqueline;4E&B&HqS*tv_;Caron;Michèle;2003;14.215;10.901
152;vbarthelemy;m!#Lqjg2!9Zl;Berthelot;Anne;2002;10.897;6.906
152;vidaleric;xSNecuyZ%S9R;Olivier;Bernard;2002;4.439;14.062
152;nallain;uBo6SvJDB*jf;Maillard;Claude;2002;18.649;5.324
152;rriou;#b6mRijrA@rW;Collet;Françoise;2002;9.929;4.406
152;dijouxetienne;k4eGS)R^@fud;Mary;Brigitte;2003;4.667;17.066
152;vgros;Ch%Iy1wA((9R;Morel;Sébastien;2002;14.578;5.555
152;michellerodrigues;Tk9a^yzns)FB;Hoarau;Laure;2002;11.936;10.863
152;edouardhardy;j5Dkjt!D&5qn;Vallet;Robert;2001;6.809;4.839
152;vsauvage;pjx42HGcFQ(a;Charpentier;Vincent;2002;12.917;15.517
152;marthe36;lra)QCwx*m)8;Humbert;Thibaut;2002;6.445;6.518
152;ylefort;C3y8HMke+i(%;Legros;Robert;2002;5.572;15.792
152;menardsusanne;q+n151Yw4KC6;Lemoine;Charlotte;2002;8.874;11.507
152;christinelecoq;*#G6eUHjv!kn;Bouvet;Alexandrie;2002;11.515;9.957
152;plecomte;)J3r!ph!n0CC;Munoz;Nicole;2002;13.869;18.235
152;frederic63;F9)VC5oc(CZl;Didier;Astrid;2002;16.706;8.864
152;nfournier;Fq6@xBe#V3AM;Laporte;Suzanne;2001;14.123;5.228
152;xrenard;&G)qZw3iR3n7;Fernandes;Jeanne;2002;19.056;4.574
152;ilemaire;+p5xJ^gcP9HD;Valentin;Lucas;2002;8.899;4.048
152;audreyvallet;)0i31R^BFahM;Mahe;Caroline;2002;14.328;16.178
152;yschneider;uF+7sDlZ0XUk;Pottier;Amélie;2002;13.015;14.354
152;royerbrigitte;fbG2X#Kl@54G;Morvan;Matthieu;2003;4.712;6.163
152;aubertastrid;z#(GHPRgfdK9;Guyot;Nicolas;2002;7.024;14.877
152;piresines;@9Mi#GgLrARe;Charpentier;Claudine;2002;16.76;12.786
152;emilie67;j7q(c771Z!GE;Breton;Maryse;2002;2.773;10.132
152;andree10;#A^awHyYs9Vm;Laurent;Astrid;2002;11.079;4.831
152;margotguyot;(3pdtT%hD)Ev;Dumas;Lorraine;2002;3.544;10.95
152;nathalie87;FT#7rcBaZeFT;Allard;Grégoire;2002;8.777;11.597
152;william31;k9ZXIzkh@M12;Mallet;Andrée;2002;12.345;3.628
152;oceaneleblanc;wWT6Zl7qPyl*;Ledoux;Lucy;2001;9.116;13.282
