idLycee;login;password;nom;prenom;naissance;note1;note2
154;mendesnathalie;_0LQ*uanWJZW;Turpin;Thibault;2001;14.12;19.396
154;tristanleclercq;t34_G!3N(AZk;Barre;Marine;2002;16.6;2.808
154;yblin;+NjFj^eF6%m);Roux;Catherine;2001;9.339;9.301
154;weberguillaume;%%!_ifkmEA0L;Leclercq;Lucie;2002;4.65;5.442
154;patricialefort;0UQ%LQqd@Ko5;Martin;Guy;2002;6.343;8.833
154;zblanchard;+*_4swRe8sgG;Pinto;Alfred;2002;18.887;14.573
154;pteixeira;B#v+IzAyf651;Normand;Amélie;2003;15.122;12.771
154;gerardvoisin;hPw7D1(_%CYE;Weiss;Cécile;2002;16.864;18.131
154;marchaljosette;s(3ALpA8uaYK;Alexandre;Nath;2002;12.994;18.024
154;tristanmendes;dF%hD99x+To5;Brunel;Marc;2002;2.695;7.785
154;therese62;%5EyM2vh)N0I;Mendes;Alexandre;2003;14.033;10.947
154;annelegendre;$3Imvkm6sacH;Toussaint;Olivier;2002;16.035;13.764
154;lecoqmadeleine;S6^o3)&b!rpD;Poulain;Anastasie;2002;14.377;12.264
154;emmanuellebonnin;q5^Y7oSrh9Zn;Pons;Richard;2002;2.371;6.287
154;leroydavid;8%cBzMy)(8%_;Ruiz;Henriette;2002;4.234;19.799
154;diane48;YC7Fzapyr$*J;Morin;Adrienne;2002;3.611;11.241
154;astrid88;@H0S*Rd%dw%8;Bonneau;Arnaude;2002;11.713;6.852
154;stephaniedias;Qy(H!y3e!7Gl;Brun;Élodie;2002;2.189;4.602
154;audrey52;_2#$di^T3p4U;Rossi;Margot;2002;13.619;7.105
154;lerouxnicolas;m(9dsIu^*N&k;Leduc;Hortense;2002;16.048;8.583
154;tphilippe;4OVcXGa#&OwT;Gomes;Timothée;2003;3.067;12.9
154;lerouxsimone;5@l13(g2(56T;Alves;Denise;2002;12.214;11.502
154;rollanddiane;Ha4*WOrgh*@n;Couturier;Thomas;2002;6.958;17.23
154;paulettedijoux;%2#@pJxv!7LB;Dumas;Anouk;2002;3.644;11.829
154;valentinegoncalves;+@&hJMCCDy3i;Vidal;Alain;2002;7.106;10.872
154;gcourtois;!1G5beWdw81^;Maury;Paulette;2002;2.691;3.052
154;sophieribeiro;%5bLb*z0xQ9q;Ramos;Gérard;2002;10.051;4.537
154;danielmartin;v37*Ci!*7%2J;Poulain;Christiane;2002;7.199;10.236
154;hortense19;z&qZnlX^9r6O;Dufour;Frédéric;2002;3.649;11.501
154;qroux;D(meJDvHzy0v;Cordier;Gilles;2002;16.218;14.868
154;ledouxclemence;m0#PIla*w(H5;Teixeira;Joséphine;2002;19.909;3.447
154;suzanne03;B7dsv1RT+xVd;Lemonnier;Grégoire;2002;9.594;15.115
154;michelle60;o27Q1pqO!#cV;Masse;Hélène;2001;14.902;15.645
154;lopeztheodore;g_Pg54nEDYPM;Bernard;Michelle;2002;19.729;18.328
154;jacquespascal;$7Oc*Pq&OhgN;Bousquet;Édith;2002;2.05;17.49
154;marydanielle;OEZi()xu1@H+;Joseph;Catherine;2002;5.759;7.639
154;abourgeois;QL6j^Xnil*Z2;Perrin;Hélène;2001;9.892;17.42
154;nathalierobert;eVi0AGtQ5Z)t;Da Costa;Raymond;2002;19.366;19.359
154;deschampspatricia;nO)YE1zXkF@4;Rousset;Éric;2002;6.003;16.303
154;adelecousin;^#TTZ)lBg7aE;Guichard;Marguerite;2002;8.154;2.611
154;teixeiraxavier;$U3N$31unI62;Lemaitre;Emmanuelle;2002;13.877;13.25
154;rene70;^9na@YUSNETb;Bertin;Adrienne;2002;14.526;15.489
154;lorraine62;h(3m6^PxwV4x;Weiss;Jacques;2003;19.726;14.121
154;edias;(38B#Bh#4UXH;Delorme;Raymond;2002;17.487;5.73
154;ferrandpaulette;Bz4OhcqvM%DS;Herve;Martin;2002;18.422;13.913
154;voisinmaryse;%wD2N2Hs2$T1;Jean;Martine;2002;10.04;7.552
154;dominique72;U+7M&juJ$SKX;David;Mathilde;2002;16.287;19.52
154;bigotmarthe;51+^f^x4+28Q;Morin;Hélène;2002;2.17;15.263
154;marthemunoz;nM5xMJ3a*_8n;Vallet;Jeanne;2002;6.509;6.649
154;fontainesuzanne;oqz(YN$z^uN5;Grenier;Patrick;2002;16.332;16.678
154;pascalclaire;_vg6P9$1#_Nt;Leclercq;Marcel;2002;12.558;19.107
154;luciebouchet;a))v(RSJZUV6;Chauveau;Hortense;2002;18.703;5.041
154;chretienjulien;^*gYZEqXEM6o;Ferreira;Nathalie;2002;5.117;7.813
154;pauljacqueline;nUiI9GyH*#Rb;Gerard;Josette;2002;2.738;8.003
154;laetitia78;b*9Sn2Eh%o37;Picard;Brigitte;2002;6.66;7.677
154;juliette20;_g$689OFg#k7;Dias;Gilles;2002;18.463;14.966
154;christine50;*KVTt0_v!8Kh;Marie;Tristan;2002;19.711;9.052
154;virginielaine;d^8juX4BR3Rf;Baudry;Louise;2002;5.811;10.925
154;nhamon;*&WWQMh#v720;Boulanger;David;2002;10.933;19.56
154;pagesgabriel;q(1J#m#vpbhU;Colas;Alphonse;2002;8.189;11.064
