idLycee;login;password;nom;prenom;naissance;note1;note2
153;navarrotimothee;0+iU0NzFA!Ay;Becker;William;2003;11.04;13.17
153;llefevre;6a0F5vdt+U(J;Fournier;Marguerite;2002;12.865;5.301
153;nicolasjosephine;V$D2DWqbe@#S;Guillaume;Christelle;2002;3.372;13.657
153;ihuet;U6s!SiU@Z29R;Lebrun;Hélène;2001;14.878;17.913
153;launaygilbert;+@+$p5NgBC^+;Guillou;Roger;2004;8.472;16.406
153;denis65;mW0OHFo&a+&C;Bailly;Emmanuelle;2002;13.028;11.154
153;hfouquet;mw&+NrOQ)7@a;Guyot;Océane;2002;7.189;8.636
153;mariedorothee;I0KJpTja(T8R;Bonnet;Gérard;2003;8.808;14.447
153;louise69;M^8^DK$0Sw4O;Buisson;Christophe;2002;8.222;4.749
153;brigittecousin;af4QNqv&$le*;Renaud;Aurélie;2002;5.053;13.78
153;margot03;!_8#CxfgXmc#;Dias;Frédéric;2003;5.539;10.781
153;turpinhortense;dH5DAspK$gUL;Le Roux;Christelle;2002;10.81;18.252
153;blotjeanne;D*3fur2o&Q$E;Humbert;Élisabeth;2002;10.796;15.921
153;renee56;Or3p9wFb$2Tj;Perrot;Patrick;2003;6.261;12.46
153;langloiscamille;^O4DXODoXg07;Rey;Luc;2002;4.568;14.265
153;adelaide32;b1Z0X1s$!9+g;Germain;Franck;2002;18.916;13.927
153;irenard;&U4s%PwkFV3#;Meunier;Constance;2002;19.884;19.831
153;marinveronique;(vA2zco6&$#P;Alexandre;Marc;2002;17.61;11.495
153;epierre;&e36f^orp@TX;Besson;Paulette;2002;15.998;6.753
153;alexandria43;E%_W@N4lx)0O;Jacquot;Aurélie;2003;5.382;15.649
153;afrancois;SY9GcXu%@nrh;Colin;Émile;2002;17.8;14.229
153;cordierhenri;$fT9mH*$$*4V;Blot;Zoé;2002;5.353;3.154
153;macesusanne;3!Zgko^&*uVO;Gaudin;Laurence;2002;3.602;2.133
153;massoncharles;4ta9G5kj$#)3;Godard;Stéphanie;2001;18.218;8.796
153;guillougabrielle;_wJhAkz$8^U7;Ollivier;Camille;2002;17.418;9.388
153;frederic65;^RM!Dyl%^765;Alves;Laetitia;2002;16.884;7.226
153;ponsfrederique;!3T5r!N+*5H8;Charpentier;Emmanuelle;2002;11.591;13.179
153;llaine;Q1&g4YvqDgon;Faivre;Hugues;2003;15.532;5.917
153;thibaultdidier;s+6tIDjZZ7(H;Cousin;Suzanne;2002;13.547;9.711
153;dominiquemarin;F@5jGgl)9)3X;Leveque;Benoît;2002;12.476;15.615
153;letellieradelaide;bs9R7_h8%@e^;Fabre;Rémy;2002;19.059;12.23
153;marc49;M*H4MfD$L#7Z;Ribeiro;Gilbert;2003;11.022;18.358
153;paulinepereira;l^9jtXfvRh7S;Pichon;Roland;2001;16.127;13.742
153;rboulay;Q^3Xf!WsO!FS;Vaillant;Paul;2002;14.359;19.393
153;ibigot;xt@1A*jIKWmx;Roger;Matthieu;2002;15.646;13.794
153;talexandre;2gDZHZIo(flY;Lombard;Jeannine;2001;5.603;9.699
153;zacharie90;Ol2R9mwwQvl);Jean;Raymond;2002;3.705;10.079
153;ogodard;EP&hR+XlFJ4@;Herve;Claudine;2002;2.575;18.321
153;denisphilippine;$d#S5zCxH^0K;Alves;Simone;2002;7.432;8.685
153;yvesmartel;$!#Qmvga9suI;Maurice;Corinne;2002;18.098;3.702
153;de-sousastephane;#2zNrVXd2idc;Bernard;Sébastien;2002;11.294;17.188
153;barbierlucie;csx96$Jb0*QV;Neveu;Agnès;2003;8.035;3.538
153;laurent20;z)8#jYGjA)EZ;Albert;Émilie;2002;16.808;11.269
153;zhebert;h_JHMQxcz_1w;Raymond;Stéphanie;2002;7.614;15.248
153;bjacques;+&r28WwuN&SB;Marchal;Marcelle;2002;11.644;9.135
153;hoaraualexandrie;+^3UvDt3j)2Q;Marechal;Thibaut;2002;18.221;6.632
153;perrotmargot;uyj@NZhu$H9N;Parent;Maurice;2002;2.005;19.538
153;jacques75;YWx3DXHzhx+_;Dupont;Suzanne;2002;14.308;11.082
153;patricialaporte;$c5P)Hsln)1H;Dupuy;Alexandre;2002;3.624;3.561
153;nicolas57;N)R9oze+9p0U;Klein;Victor;2002;8.676;11.178
153;eleonoremercier;M(6IYM7vYk&9;Cousin;Colette;2002;2.291;6.499
153;etiennemoulin;^6zb!a0rV@yF;Salmon;daisy;2002;10.115;5.492
153;ericevrard;4lYzmlnv$)A!;Blot;Marguerite;2002;17.612;10.497
153;colletmargaud;Are6Yyft4+(+;Seguin;Franck;2002;19.17;17.048
153;kallard;&zNoI$&ky6Tw;Gonzalez;Joséphine;2002;10.909;18.68
153;virginie91;&#@jl1)+43U4;Delahaye;Philippe;2002;10.827;9.284
153;rollandantoine;eSTgPbe0Wd)8;Foucher;Margaud;2002;15.038;4.38
153;lombardpatricia;)7Vrhn&V#iAp;Gaudin;Susanne;2002;5.564;16.736
153;gilbertvalentin;^9h^xTFxOO$n;Blot;Théophile;2002;13.726;13.241
153;veronique89;2p1iSWvIq_X7;Valentin;Josette;2002;8.628;10.785
