idLycee;login;password;Appellation officielle;Commune
1;charlesroussel;%FW7GG#z@5XU;Centre d'enseignement professionnel et d'accueil des jeunes;Saint-Genis-Laval
2;acharpentier;CaY&gT0xc(8C;Ecole générale privée Cours Pascal;Lyon 1er Arrondissement
3;gregoirebesnard;3ytCD1In+HY5;Ecole privée multilingue Ombrosa;Caluire-et-Cuire
4;pauletteroussel;q3B&^Zgt$+!c;Ecole privée Silvya Terrade - International Silvya Terrade;Lyon 6e  Arrondissement
5;aimeebegue;&7Glnri6C4Ua;Ecole privée Silvya Terrade - Villefranche-sur-Saône;Villefranche-sur-Saône
6;davidallain;uraGDNcv@WU2;Ecole professionnelle privée Atelier d'Apprentissage de Gorge de Loup;Lyon 9e  Arrondissement
7;andree94;@ZfJBYlS!3Yo;Ecole professionnelle privée Ateliers d'Apprentissage de la Giraudière;Brussieu
8;davidguyon;S2@S$uWv+a7F;Ecole professionnelle privée ELEA Presqu'île;Lyon 2e  Arrondissement
9;alixleduc;T6AFhf4R@9*Y;Ecole professionnelle privée Ipso Lyon;Lyon 7e  Arrondissement
10;brunetdenise;Y*Pla_dMb00V;Ecole professionnelle privée Studio M;Villeurbanne
11;dclerc;pb09F5Ck2!u&;Ecole secondaire privée International School Of Lyon;Sainte-Foy-lès-Lyon
12;vidalalphonse;(rDP$ZhSZ+J6;Ecole secondaire privée IPESS;Lyon 7e  Arrondissement
13;anais15;$gllNS0P*2Xw;Ecole technologique privée Arts Appliqués Bellecour;Lyon 2e  Arrondissement
14;louise36;0!eYYl3n%Z1e;Ecole technologique privée de Condé;Lyon 7e  Arrondissement
15;fblanc;6TV6RpjIcb!k;Ecole technologique privée Supdemod;Lyon 2e  Arrondissement
16;clegrand;tvVL6Y1y!D^c;Etablissement régional d'enseignement adapté Cité Scolaire René Pellet - Lycée des métiers du tertiaire et de l'artisanat d'art;Villeurbanne
17;marinesamson;*Y6fGXMy_!2o;Lycée agricole privé Jean Monnet de Saint-symphorien-sur-Coise;Saint-Symphorien-sur-Coise
18;bbarthelemy;#2ZdBt2w3bHN;Lycée agricole privé Lyon Pressin de Saint-Genis-Laval;Saint-Genis-Laval
19;vincentlaure;&FhsBMNv35RA;Lycée agricole privé Sandar de Limonest;Limonest
20;noemiolivier;p5LEVGkq(8xP;Lycée d'enseignement général et technologique agricole de Lyon - Dardilly;Dardilly
21;emmanuelle05;s7qvz4iX^bE0;Lycée d'enseignement général et technologique agricole de Saint-Genis-Laval;Saint-Genis-Laval
22;philippine61;^4ZDBsmEpAne;Lycée général Cité scolaire internationale;Lyon 7e  Arrondissement
23;hrobert;5tYQI&%e@vl(;Lycée général du Parc;Lyon 6e  Arrondissement
24;suzannecarlier;#&X0F9flJdfg;Lycée général et technologique Albert Camus;Rillieux-la-Pape
25;pbuisson;NI1mUDDq(28$;Lycée général et technologique Ampère;Lyon 2e  Arrondissement
26;ucohen;m%_1JX_q!KET;Lycée général et technologique Antoine de Saint-Exupéry;Lyon 4e  Arrondissement
27;alphonse29;e^9@W(Wsgs%N;Lycée général et technologique Auguste et Louis Lumière;Lyon 8e  Arrondissement
28;pineauadelaide;bsR8Ts&a2()9;Lycée général et technologique Blaise Pascal;Charbonnières-les-Bains
29;guillotpierre;90Ls+GW(Sih*;Lycée général et technologique Colbert;Lyon 8e  Arrondissement
30;nbarre;*5Q$lDsplpso;Lycée général et technologique Condorcet;Saint-Priest
31;guillotfrancois;_(0%P4Ow8Zug;Lycée général et technologique Edouard Herriot;Lyon 6e  Arrondissement
32;lucy61;&0SgJx3R@Wj4;Lycée général et technologique Jean Perrin;Lyon 9e  Arrondissement
33;jaubry;4GAx8+B_^%Uy;Lycée général et technologique Jean-Paul Sartre;Bron
34;zoe07;X%7Q@BiHBm@C;Lycée général et technologique Juliette Récamier;Lyon 2e  Arrondissement
35;frederic60;+L1yvq8*g4sL;Lycée général et technologique La Martinière Diderot;Lyon 1er Arrondissement
36;lucylaporte;#MQLYDrw)E05;Lycée général et technologique La Martinière Duchère;Lyon 9e  Arrondissement
37;bertrandbertrand;TFs%qQyd(35Z;Lycée général et technologique La Martinière Monplaisir;Lyon 8e  Arrondissement
38;pfouquet;!SkZW&Ip79J^;Lycée général et technologique Lacassagne;Lyon 3e  Arrondissement
39;jcollet;057&XsPkNpP6;Lycée général et technologique Marcel Sembat;Vénissieux
40;daisy40;$GpCGcl3p1et;Lycée général et technologique Parc Chabrières;Oullins
41;dumontanouk;&8R^#3n@Fgi6;Lycée général et technologique Pierre Brossolette;Villeurbanne
42;simone48;f5jYyPz))jxF;Lycée général et technologique privé Al Kindi;Décines-Charpieu
43;laetitia13;e3hh)gK*$EU^;Lycée général et technologique privé Assomption Bellevue;La Mulatière
44;rleduc;rO47zDVlv@hV;Lycée général et technologique privé Aux Lazaristes;Lyon 5e  Arrondissement
45;isaaclabbe;__MMxPiC#F0E;Lycée général et technologique privé Belmont-Capdepon;Lyon 7e  Arrondissement
46;letellierchristelle;(cyifAd&D9RB;Lycée général et technologique privé Champagnat;Saint-Symphorien-sur-Coise
47;philippede-sousa;7%66xvyY(zNH;Lycée général et technologique privé Charles de Foucauld;Lyon 3e  Arrondissement
48;antoinettemoreau;@7UTjDT77e9B;Lycée général et technologique privé des Chassagnes;Oullins
49;allainrenee;jbIB8VdxCa!^;Lycée général et technologique privé Institution des Chartreux;Lyon 1er Arrondissement
50;gauthierlorraine;IARbN6vO#(9T;Lycée général et technologique privé Jean-Baptiste de La Salle;Lyon 1er Arrondissement
51;rene15;MX4O6cdh5!9);Lycée général et technologique privé La Favorite Sainte Thérèse;Lyon 5e  Arrondissement
