idSuperieur;login;password;nom;type;commune;département;longitude (X);latitude (Y);nbAdmis;nbAppel;coefNote1;coefNote2
1;inesbegue;nST!dA3x!4Qi;Institut des droits de l'Homme;Autre établissement du supérieur;Lyon;Rhône;4.8240999;45.7477113;100;200;7;2
2;alexandreaugustin;7%#6L6Kv+I5Z;Institut de l'environnement et des technologies;Autre établissement du supérieur;Lyon;Rhône;4.805519;45.770445;100;200;5;0
3;yantoine;hC6PBzP*!*BH;Ecole internationale des transports et de la logistique - Sup de Log (groupe Promotrans);Autre établissement du supérieur;Lyon;Rhône;4.835007;45.744212;100;200;3;2
4;noel24;##s3i+IpBBLT;Institut national du travail, de l'emploi et de la formation professionnelle;Centre de formation de fonctionnaires;Marcy-l'Etoile;Rhône;4.715624;45.785551;100;200;5;1
5;letelliermarine;Lty@LmxFc9IK;Institut national de formation des personnels du ministère de l'agriculture;Centre de formation de fonctionnaires;Corbas;Rhône;4.916536;45.674167;100;200;3;1
6;zoe91;J#6@0UN&UkOE;Ecole du Personnel Paramédical du service de santé des Armées;Centre de formation de fonctionnaires;Bron;Rhône;4.9248669;45.7282743;100;200;1;2
7;eleonorejacques;Jcsx@4GsqsdH;Conservatoire à rayonnement régional de Lyon;Ecole d'art;Lyon;Rhône;4.822114;45.76105;100;200;4;2
8;schmittrene;2AtWiiNn_4@2;Centre de formation de musiciens intervenant à l'école;Ecole d'art;Bron;Rhône;4.824475;45.773776;100;200;3;1
9;sophie26;_EQlo$Szj8bP;Institut supérieur Architecture intérieure;Ecole d'art;Lyon;Rhône;4.8657397822089;45.75680762735;100;200;7;2
10;gabriellebrunet;MR#et9Kw)(5Q;IT Akademy;Autre établissement du supérieur;Villeurbanne;Rhône;4.8637927;45.7702825;100;200;2;1
11;veronique46;Z1dB8MIx!ltl;Institut des sciences de la famille;Autre établissement du supérieur;Lyon;Rhône;4.8269411;45.751225;100;200;5;1
12;georgesthierry;U3&6oQJnd$i7;Institut supérieur de communication et de publicité;Autre établissement du supérieur;Lyon;Rhône;4.862554;45.759085;100;200;4;0
13;genevieveblin;@6vDcA7_%QCW;Institut d'études politiques (Sciences Po Lyon);Autre établissement du supérieur;Lyon;Rhône;4.836028;45.747026;100;200;3;1
14;fernandezdiane;k)IvJHMt$B1c;Faculté de droit;Autre établissement du supérieur;Lyon;Rhône;4.826411;45.746622;100;200;3;1
15;noemilagarde;R!4RdRB$K*TY;ISCPA Lyon - Institut supérieur des médias;Autre établissement du supérieur;Lyon;Rhône;4.805467;45.768032;100;200;4;0
16;patrickleger;F9MmtF%q+oUi;Ecole supérieure qualité sécurité-santé environnement;Autre établissement du supérieur;Lyon;Rhône;4.826411;45.746622;100;200;5;0
17;zacharieclerc;_5QWM$H2_*Ba;Médiat centre régional de formation aux métiers des bibliothèques;Autre établissement du supérieur;Villeurbanne;Rhône;4.871333;45.7822695;100;200;2;0
18;valerie75;#cpX0QLMb3P3;École pour l'informatique et les nouvelles technologies;Autre établissement du supérieur;Lyon;Rhône;4.8568653;45.7569796;100;200;6;2
19;agnesmartinez;!Q0OEeCoU3ZF;Institut de langue et culture françaises;Autre établissement du supérieur;Lyon;Rhône;4.8285338;45.7571036;100;200;7;1
20;robertledoux;r#uWs%rq$45#;Ecole normale supérieure de Lyon;Centre de formation de fonctionnaires;Lyon;Rhône;4.8271601;45.7298101;100;200;1;2
